,English Reviews ,Modern standard Arabic (MSA),Bahraini Dialects (BDs)
0,"Poor Sound Quality: It is difficult to hear callers on this bluetooth headset, even with the volume at max. Don't buy!""","ÌæÏÉ ÕæÊ ÑÏíÆÉ: ãä ÇáÕÚÈ ÓãÇÚ ÇáãÊÕáíä Úáì ÓãÇÚÉ ÇáÈáæÊæË åĞå ¡ ÍÊì ãÚ æÌæÏ ÇáÕæÊ ÚäÏ ÇáÍÏ ÇáÃŞÕì. áÇ ÊÔÊÑí! """,ÌæÏÉ ÇáÕæÊ ÓíÆÉ...ãä ÇáÕÚÈ ÓãÇÚ ÇáãÊÕáíä Úáì ÓãÇÚÉ ÇáÈáæÊæË åĞí...ÍÊì ãÚ ÌæÏÉ ÇáÕæÊ ÚäÏ ÃÚáì Ôí... áÇ ÊÔÊÑí
0,"I have to admit that I liked one of the paintings, although it is not attractive at all. It looks as if it is painted with splash paint. I have prepared the painting and realized it was worth paying more for a high-quality product. ""","íÌÈ Ãä ÃÚÊÑİ ÈÃääí ÇÍÈÈÊ  ÃÍÏ ÇááæÍÇÊ ÇáİäíÉ ¡ Úáì ÇáÑÛã ãä ÃäåÇ áíÓÊ ÌĞÇÈÉ Úáì ÇáÅØáÇŞ. ÊÈÏæ ßãÇ áæ ßÇäÊ ãØáíÉ ÈØáÇÁ ãÊäÇËÑ. áŞÏ ÃÚÏÊ ÇááæÍÉ  æÃíŞäÊ  Ãä ÇáÃãÑ íÓÊÍŞ ÏİÚ ÇáãÒíÏ ãä ÇáãÇá ãŞÇÈá ãäÊÌ ÚÇáí ÇáÌæÏÉ "".",áÇÒã ÇÚÊÑİ Çäí ÍÈíÊ æÍÏÉ ãä ÇááæÍÇÊ ÇáİäíÉ.. ÈÇáÑÛã Ãä Çåí ÈÇáãÑÉ ãæ ÌĞÇÈÉ ..ßÃäåÇ ãÕÈæÛÉ ÈÕÈÛ ãäÊÔÑ .ÌåÒÊ ÇááæÍÉ æÇŞÊäÚÊ Çä ÇáãæÖæÚ íÓÊÇåá ÏİÚ İáæÓ æÇÌÏ ãŞÇÈá ãäÊÌ ÚÇáí ÇáÌæÏÉ.
0,"If you like mashing potatoes, you'll love this book because 40 pages of it are full of nothing but mashing. That is why I gave him 2 stars.","ÅĞÇ ßäÊ ÊÍÈ åÑÓ ÇáÈØÇØÓ ¡ İÓÊÍÈ åĞÇ ÇáßÊÇÈ áÃä 40 ÕİÍÉ ãäå  áíÓÊ ãáíÆÉ ÈÔíÁ Óæì ÇáåÑÓ. åĞÇ åæ ÇáÓÈÈ İí Ãääí ãäÍÊå 2 äÌãÉ.",ÇĞÇ ßäÊ ÇÊÍÈ åÑÓ ÇáÂáæ ..İÈÊÍÈ åĞÇ ÇáßÊÇÈ áÇä ?? ÕİÍÉ ãäå ãæ ãÊÑæÓÉ ÈÔíÁ ÅáÇ ÇáåÑÓ... åĞÇ åæ ÇáÓÈÈ Çäí ÚØíÊå äÌãÊíä.
0,"We didn't even get a chance to install this gate. It came chipped and the finish is very cheap and seems it will chip as soon as your child puts their mouth on it, which is inevitable.""","áã äÍÕá ÍÊì Úáì İÑÕÉ áÊËÈíÊ åĞå ÇáÈæÇÈÉ. áŞÏ æÕáÊäÇ ãÊÔŞŞÉ æÇááãÓÇÊ ÇáäåÇÆíÉ ÑÎíÕÉ ÌÏğÇ æíÈÏæ ÃäåÇ ÓÊäßÓÑ ÈãÌÑÏ Ãä íÖÚ Øİáß İãå ÚáíåÇ ¡ æåæ ÃãÑ áÇ ãİÑ ãäå .",ãÇ ÍÕáäÇ ÍÊì Úáì İÑÕÉ ÚÔÇä äËÈÊ åÇáÈæÇÈÉ...æÕáÊäÇ ãÊÔŞŞÉ æÇááãÓÇÊ ÇáäåÇÆíÉ æÇÌÏ ÑÎíÕÉ ..æÔßáåÇ ÈÊäßÓÑ ÈãÌÑÏ ÇíÎáí æáÏß ÈæÒå ÚáíåÇ .. æÇåæ ÇãÑ áÇ ãİÑ ãäå .
0,"Battery does not hold charge: While I like the size and shape of this bluetooth, I find that there's a problem with it holding a charge. I charge it overnight, then go to turn it on the following afternoon, and there's no power.""","ÇáÈØÇÑíÉ áÇ ÊÍÊİÙ ÈÇáÔÍä: ÈíäãÇ ÃÍÈ ÍÌã æÔßá åĞå ÇáÈáæÊæË ¡ ÃÌÏ Ãä åäÇß ãÔßáÉ İí ÇáÇÍÊİÇÙ ÈÇáÔÍä. ÃŞæã ÈÔÍäå ØæÇá Çááíá ¡ Ëã ÃĞåÈ áÊÔÛíáå ÈÚÏ ÙåÑ Çáíæã ÇáÊÇáí ¡ æáÇ ÊæÌÏ ŞæÉ "".",ÇáÈÊÑí ãÇ íÍÊİÙ ÈÇáÔÍä ..ÈÇáÑÛã Çäí ÍÈíÊ ÍÌã æÔßá åÇáÈáæÊæË ...ÇÌæİ Çä İí ãÔßáÉ ÈÇáÇÍÊİÇÙ ÈÇáÔÍä ..ÇÔÍäå Øæá Çááíá ..ÈÚÏíä ÇÔÛáå ÇáÙåÑ ÈÇáíæã ÇáËÇäí...æãÇ İíå ŞæÉ.
0,"I have been using this headphone for more than a year, but I rarely use it for the following reasons: it picks up a lot of road noise; People on the other side have difficulty hearing me; She quickly loses charge. . If you plan to use your headset on the road, be sure to purchase one that controls noise","áŞÏ ßäÊ ÃÓÊÎÏã ÓãÇÚÉ ÇáÑÃÓ åĞå áÃßËÑ ãä ÚÇã ¡ æáßä äÇÏÑğÇ ãÇ ÃÓÊÎÏãåÇ ááÃÓÈÇÈ ÇáÊÇáíÉ: ÊáÊŞØ ÇáßËíÑ ãä ÖæÖÇÁ ÇáØÑíŞ º ÇáäÇÓ Úáì ÇáØÑİ ÇáÂÎÑ íÌÏæä ÕÚæÈÉ İí ÓãÇÚí º ÊİŞÏ ÔÍäÊåÇ ÈÓÑÚÉ. . ÅĞÇ ßäÊ ÊÎØØ áÇÓÊÎÏÇã ÓãÇÚÉ ÇáÑÃÓ ÇáÎÇÕÉ Èß Úáì ÇáØÑíŞ ¡ İÊÃßÏ ãä ÔÑÇÁ æÇÍÏÉ ÊÓíØÑ Úáì ÇáÖæÖÇÁ",ßäÊ ÇÓÊÎÏã ÓãÇÚÉ ÇáÑÃÓ åĞí ÇßËÑ ãä ÓäÉ ...áßä Şáíá ãÇ ÇÓÊÎÏãåÇ áåĞí ÇáÃÓÈÇÈ..æÇÌÏ ÊáŞØ ÇÒÚÇÌ ÇáÔÇÑÚ .İÇáäÇÓ Úáì ÇáØÑİ ÇáËÇäí íÓãÚæäí ÈÕÚæÈÉ..æÈÓÑÚÉ íÎáÕ ÌÇÑÌåÇ. ÇĞÇ ßäÊ ãÎØØ ÊÔÊÑí ÓãÇÚÉ ÇáÑÇÓ ÇáÎÇÕÉ İíß ááÔÇÑÚ İÊÃßÏ ãä Çäß ÊÔÊÑí æÍÏÉ ÊÓíØÑ Úáì ÇáÇÒÚÇÌ.
0,I bought this headphone as a gift for my friend and had to return it because the volume is too low. Only when he's in a quiet place can he hear the conversation. We returned the product. The store returned my money without problems.,ÇÔÊÑíÊ åĞå ÇáÓãÇÚÉ  ßåÏíÉ áÕÏíŞí æßÇä Úáíå ÅÚÇÏÊåÇ áÃä ÇáÕæÊ  ãäÎİÖ ÌÏğÇ.  İŞØ ÚäÏãÇ íßæä İí ãßÇä åÇÏÆ íãßäå ÓãÇÚ ÇáãÍÇÏËÉ. ÃÚÏäÇ ÇáãäÊÌ. æÃÚÇÏ ÇáãÊÌÑ ÃãæÇáí Ïæä ãÔÇßá .,ÇÔÊÑíÊ åÇáÓãÇÚÉ ßåÏíÉ áÕÏíŞí æáÇÒã ßÇä íÑÌÚåÇ áÇä ÇáÕæÊ æÇÌÏ Îİíİ... ÈÓ İí ãßÇä åÇÏÆ íŞÏÑ íÓãÚ ÇáÇÊÕÇá.. ÑÌÚäÇ ÇáãäÊÌ .æÑÌÚ ÇáãÍá İáæÓí ãä ÛíÑ ãÔÇßá.
0,"I bought this product and had to return it because it was defective. As for the second product, it continues to interrupt during my conversation, and does not carry the charge (charge) for a long time, in addition to that the person I am talking to hardly hears me, and in general it was just a bad product. I would not recommend anyone to buy it.","ÇÔÊÑíÊ åĞÇ ÇáãäÊÌ æÇÖØÑÑÊ Åáì ÅÑÌÇÚå áÃäå ßÇä ãÚíÈÇ . ÃãÇ  ÇáãäÊÌ ÇáËÇäí İíÓÊãÑ İí ÇáÊŞØÚ ÃËäÇÁ  ãÍÇÏËÊí ¡ æáÇ íÍãá ÇáÔÍäÉ(ÇáÌÇÑÌ) áİÊÑÉ ØæíáÉ ¡ ÈÇáÇÖÇİÉ Åáì Ãä  ÇáÔÎÕ ÇáĞí  ÃÊÍÏË ãÚå ÈÇáßÇÏ íÓãÚäí ¡ æÚãæãğÇ ßÇä ãÌÑÏ ãäÊÌ ÓíÆ. áÇ ÃäÕÍ Ãí ÔÎÕ ÈÔÑÇÁå.",ÇÔÊÑíÊ åÇáãäÊÌ æÇÖØÑíÊ Åáì ÊÑÌíÚå áÇä İíå Îáá..ÃãÇ ÇáãäÊÌ ÇáËÇäí ãÓÊãÑ İí ÇáÊŞØíÚ ÃËäÇÁ ÇáÇÊÕÇá æáÇ íÙá ÇáÌÇÑÌ İÊÑÉ ØæíáÉ ÈÇáÇÖÇİÉ Åáì ÇáÔÎÕ Çááí ÇÊßáã ãÚÇå íÏæÈ íÓãÚäí ...ÚãæãÇ ßÇä åÇáãäÊÌ ÓíÆ ..ãÇ ÇäÕÍ Çí ÔÎÕ íÔÊÑíå.
1,"I am in the plane and airport every month, all over the world, and I visit suppliers and factories. What a great effective travel bag, I have been using it for 4 years and can't travel without it, accommodating everything I need. The only problem is the wheel and handle that can't handle all the weight you can put inside, I think a design problem for no more.","ÃäÇ İí ÇáØÇÆÑÉ æÇáãØÇÑ ßá ÔåÑ ¡ İí ÌãíÚ ÃäÍÇÁ ÇáÚÇáã ¡ æÃÒæÑ ÇáãæÑÏíä æÇáãÕÇäÚ. íÇáåÇ ãä ÍŞíÈÉ ÓİÑ İÚÇáÉ ÑÇÆÚÉ  ¡ ÃÓÊÎÏãåÇ ãäĞ 4 ÓäæÇÊ æáÇ íãßääí ÇáÓİÑ ÈÏæäåÇ ¡ ÊÓÊæÚÈ ßá ãÇ ÇÍÊÇÌ Åáíå .ÇáãÔßáÉ ÇáæÍíÏÉ åí ÇáÚÌáÉ  æÇáãŞÈÖ ÇáĞí áÇ íãßäå ÊÍãá ßá ÇáæÒä ÇáĞí íãßäß æÖÚå İí ÇáÏÇÎá ¡ ÇÚÊŞÏ  ãÔßáÉ ÊÕãíã áÇÃßËÑ.",Çäí İí ÇáØíÇÑÉ æÇáãØÇÑ ßá ÔåÑ İí ßá ãßÇä İí ÇáÚÇáã. æÃÒæÑ ÇáãæÑÏíä æÇáãÕÇäÚ. ÔäØÉ ÇáÓİÑ åĞí ÕÏŞ ÚÌíÈÉ ÇÓÊÎÏãåÇ ãä ? ÓäæÇÊ æãÇ ÇŞÏÑ ÇÓÇİÑ ÈÏæäåÇ ÊÔíá ßá Ôí ÇÍÊÇÌå. ÇáãÔßáÉ ÇáæÍíÏÉ åæå ÇáÊÇíÑ æÇáåÇäÏá ãÇ íÔÏ ßá ÇáæÒä ÇĞÇ ÇäÊÑÓÊ. ÈÓ ÇÚÊŞÏ åĞí ãÔßáÉ İí ÇáÊÕãíã ãæ ÇßËÑ
1,A nice collection of interview portions of some of the world's great ones is better than original interviews where people get a chance to talk more than interviewer,"ãÌãæÚÉ áØíİÉ ãä ÃÌÒÇÁ ÇáãŞÇÈáÇÊ áÈÚÖ ÚÙãÇÁ ÇáÚÇáã¡ ÃİÖá ãä ÇáãŞÇÈáÇÊ ÇáÃÕáíÉ ÍíË íÍÕá ÇáÃÔÎÇÕ Úáì İÑÕÉ ÇáÍÏíË ÃßËÑ ãä ÇáãĞíÚ .","ãÌãæÚÉ ÍáíæÉ ãä ÇÌÒÇÁ ÇáãŞÇÈáÇÊ áÈÚÖ ÚÙãÇÁ ÇáÚÇáã¡ ÇÍÓä ãä ÇáãŞÇÈáÇÊ ÇáÇÕáíÉ áÇä ÇáäÇÓ ÊÍÕá İÑÕÉ ááßáÇã ÇßËÑ ãä ÇáãĞíÚ"
1,"Now I've published more than 30 books, but this one is beautiful and fun to read. This book contains a lot of good information, everything in the book is good, but I would like to say that it is not the best, there  is better than it in  the market.","áŞÏ äÔÑÊ ÇáÂä ÃßËÑ ãä 30 ßÊÇÈğÇ ¡ æáßä åĞÇ ÇáßÊÇÈ  ÌãíáğÇ ããÊÚÇ  áŞÑÇÁÊå . íÍÊæí åĞÇ ÇáßÊÇÈ Úáì ÇáßËíÑ ãä ÇáãÚáæãÇÊ ÇáÌíÏÉ ¡ßá ÔíÁ İí ÇáßÊÇÈ ÌíÏ¡  æáßä ÃæÏ Ãä ÃŞæá Ãäå áíÓ ÇáÃİÖá¡ İİí ÇáÓæŞ  ÃİÖá ãäå .","äÔÑÊ ááíæã ÇßËÑ ãä ?? ßÊÇÈ æáßä åÇáßÊÇÈ İíå ãÊÚÉ ááŞÑÇÁÉ. İí åÇáßÊÇÈ æÇÌÏ ãÚáæãÇÊ ãİíÏÉ¡ ßá Ôí İí ÇáßÊÇÈ Òíä¡ æáßä ÇÈÛí ÇŞæá Çäå ãæ ÇáÊæÈ İí ÇáÓæŞ İí ÇÍÓä ãäå."
1,"I think this solution is the best on the market. Suitable to use with all kinds of water used in aquariums, it is great and at an affordable price","ÃÚÊŞÏ Ãä åĞÇ ÇáãÍáæá  åæ ÇáÃİÖá İí ÇáÓæŞ. ãäÇÓÈ ÇÓÊÎÏÇãå ãÚ ÌãíÚ ÇäæÇÚ ÇáãíÇå ÇáãÓÊÎÏãÉ İí ÃÍæÇÖ ÇáÓãß¡ Çäå ÑÇÆÚ æ ÈÓÚÑ ãäÇÓÈ","ÇÊæŞÚ åÇáãÍáæá åæå ÇÍÓä æÇÍÏ İí ÇáÓæŞ. íäÇÓÈ Çäå íÓÊÎÏã æíÉ ßá ÇäæÇÚ ÇáãÇí ãÇá ÇÍæÇÖ ÇáÓã¡ æÇÌÏ ÚÌíÈ æÓÚÑå ÈÚÏ Òíä"
1,my 6 year old nephew will love this! Product is just as discribed and the  case is made out of sturdy materials,"ÇÈä ÃÎí ÇáÈÇáÛ ãä ÇáÚãÑ 6 ÓäæÇÊ ÓíÍÈ åĞÇ! ÇáãäÊÌ ßãÇ åæ ãæÕæİ ¡ æÇáÍŞíÈÉ ãÕäæÚÉ ãä ãæÇÏ ãÊíäÉ.",ÇÈä ÇÎæíí Çááí ÚãÑå ? ÓäæÇÊ ÈíÍÈ åĞÇ! ÇáãäÊÌ ãËá ãÇ ŞÇáæ ÈÇáÖÈØ æÇáÔäØÉ ãÕäæÚÉ ãä ãæÇÏ ŞæíÉ.
1,"I was very tired of ordering jewelry online, and I was concerned that the comments written on the site about these jewelry are written by ""company factories"", but the important thing is that my wife is very happy with these earrings that arrived quickly. The color and size of the earrings are exactly as shown on the website. As long as the prices are competitive, I will order more jewelry again","ßäÊ ãÊÚÈğÇ ÌÏğÇ İí ØáÈ ÇáãÌæåÑÇÊ ÚÈÑ ÇáÅäÊÑäÊ ¡ æßäÊ ŞáŞğÇ ãä Ãä ÇáÊÚáíŞÇÊ ÇáãßÊæÈÉ İí ÇáãæŞÚ Íæá åĞå ÇáãÌæåÑÇÊ  ãßÊæÈÉ ÈæÇÓØÉ ""ãÕÇäÚ ÇáÔÑßÉ"" ¡ áßä Çáãåã Ãä ÒæÌÊí ÓÚíÏÉ ÌÏÇ ÈåĞå ÇáÃŞÑÇØ ÇáÊí  æÕáÊ ÈÓÑÚÉ . áæä ÇáÃŞÑÇØ æÍÌãåÇ ÊãÇãÇ ßãÇ åæ ãæÖÍ ÈÇáãæŞÚ . ØÇáãÇ  ÇáÃÓÚÇÑ ÊäÇİÓíÉ ¡ ÓÃØáÈ ÇáãÒíÏ ãä ÇáãÌæåÑÇÊ  ãÑÉ ÃÎÑì","ßäÊ æÇÌÏ ÊÚÈÇä ãä ØáÈ ÇáãÌæåÑÇÊ ãä ÇáäÊ. æßäÊ ÎÇíİ ãä Çä ÇáÊÚáíŞÇÊ ÇáãßÊæÈÉ İí ÇáãæŞÚ Úä åÇáãÌæåÑÇÊ Êßæä ãä ÇÕÍÇÈ ÇáÔÑßÉ¡ áßä Çåã Ôí Çä ãÑÊí ãÓÊÇäÓÉ ÍÏåÇ ÈÇáÊÑÇßí Çááí æÕáÊ ÈÓÑÚÉ. áæä ÇáÊÑßí æÍÌãåã ãËá ãÇ ßÇä ãÍØæØ İí ÇáãæŞÚ. ãÇ ÏÇã ÇáÇÓÚÇÑ ÒíäÉ ÈØáÈ ÒíÇÏÉ ãä ÇáÇßÓÓæÑÇÊ ãÑÉ ËÇäíÉ"
1,"These  cups are great. They have the lids and great valves in the lid that prevent leaking. These are the ONLY CUPS that I have been able to find that DO NOT LEAK!! Awesome for toddlers. Especially if yours are like mine, and they throw their cup down on the floor when they're done drinking. AWESOME CUPS!!! I would definitely recommend these.""","åĞå ÇáÃßæÇÈ ÑÇÆÚÉ. ÃÛØíÉ æÕãÇãÇÊ ßÈíÑÉ İí ÇáÛØÇÁ ÊãäÚ ÇáÊÓÑÈ. åĞå åí ÇáßÄæÓ ÇáæÍíÏÉ ÇáÊí ÊãßäÊ ãä ÇáÚËæÑ ÚáíåÇ æÇáÊí áÇ ÊÓÑÈ !! ÑåíÈÉ ááÃØİÇá ÇáÕÛÇÑ. ÎÇÕÉ ÅĞÇ ßÇä áß ãËá ÇáÃØİÇá ÇááĞíä ÚäÏí  ¡ íÑãæä ÃßæÇÈåã Úáì ÇáÃÑÖ ÚäÏ ÇáÇäÊåÇÁ ãä ÇáÔÑÈ. ÇáßÄæÓ ÇáÑÇÆÚÉ !!! ÓÃæÕí ÈÇáÊÃßíÏ ÈåÇ "".",åÇááÇÕÇÊ ÚÌíÈÉ. ãÛÇØí æ ÕãÇãÇÊ ßÈíÑÉ İí ÇáãÛØì ÊÎáíåÇ ãÇ ÊÓÑÈ. åĞí ÇááÇÕÇÊ ÇáæÍíÏÉ Çááí ŞÏÑÊ ÇÍÕá ÚáíåÇ æãÇ ÊÓÑÈ. ÚÌíÈÉ ÍŞ ÇáÌåÇá. ÎÇÕÉ ÇĞÇ ßÇäæ äİÓ ÇáÌåÇá Çááí ÚäÏí íÑãæä ÇßæÇÈåã Úáì ÇáÇÑÖ áãÇ íÎáÕæä íÔÑÈæä.. ÇááÇÕÇÊ İä.ÇäÕÍ ÇßíÏ İíåã.
1,I have  12 that used these cups when they were toddlers. . I've tried many  cups but this is still the best one. Unfortunately there is still no easy way to clean this kind of cups.,áÏí 12 ÇÓÊÎÏãæÇ åĞå ÇáÃßæÇÈ ÚäÏãÇ ßÇäæÇ ÃØİÇáğÇ ÕÛÇÑğÇ. . áŞÏ ÌÑÈÊ ÇáÚÏíÏ ãä ÇáßÄæÓ æáßä áÇÊÒÇá åĞå ÇáßÄæÓ åí ÇáÃİÖá. ááÃÓİ áÇ ÊæÌÏ ØÑíŞÉ ÓåáÉ áÊäÙíİ åĞÇ ÇáäæÚ ãä ÇáßÄæÓ.,ÚäÏí ?? æÇÍÏ ÇÓÊÎÏãæ åÇááÇÕÇÊ áãÇ ßÇäæ ÌåÇá.. ÌÑÈÊ æÇÌÏ áÇÕÇÊ ÈÓ åÇááÇÕÇÊ åíå ÇáÇÍÓä.. áßä ÇáãÔßáÉ Çä ãÇ İí ØÑíŞÉ ÓåáÉ áÊäÙíİ åÇáäæÚ ãä ÇááÇÕÇÊ
1,"I do a lot of photoshop work, and have been using this software instead of the more expensive Adobe...I find it serves my needs, I had to replace the one I had cause it got corrupted, I'm now using this one, and very satisfied with it..thanks.""","ÃŞæã ÈÇáßËíÑ ãä ÃÚãÇá ÇáİæÊæÔæÈ ¡ æßäÊ ÃÓÊÎÏã åĞÇ ÇáÈÑäÇãÌ ÈÏáÇğ ãä Adobe ÇáÃßËÑ ÊßáİÉ ... ÃÌÏ Ãäå íİí ÈÇÍÊíÇÌÇÊí ¡ æÇÖØÑÑÊ Åáì ÇÓÊÈÏÇá ÇáÈÑäÇãÌ ÇáĞí ÊÓÈÈÊ İí Êáİå ¡ æÃäÇ ÇáÂä ÃÓÊÎÏã åĞÇ ÇáÈÑäÇãÌ ¡ æÑÇÖ ÌÏÇ Úäå .. ÔßÑÇ "".",ÇÓæí æÇÌÏ ÇÔíÇÁ ÈÇáİæÊæÔæÈ æßäÊ ÇÓÊÎÏã åÇáÈÑäÇãÌ ÈÏÇá Adobe ÇáÇÛáì.. ÇÍÓå íÓæí Çááí ÇÈÛíå æÇÖØÑíÊ ÇÈÏáå áÇäå ÇÎÊÑÈ æÇááÍíä Çäí ŞÇÚÏÉ ÇÓÊÎÏã åÇáÈÑäÇãÌ æÑÇÖíÉ Úäå ÚÏá.. ÔßÑÇ
1,"Great product for young children, to learn shapes and match them with similar ones, great product that makes the child interested in learning shapes and colors simultaneously. Strongly recommend it","ãäÊÌ ÑÇÆÚ ááÃØİÇá ÕÛÇÑ ÇáÓä ¡ áÊÚáã ÇáÃÔßÇá æãØÇÈŞÊåÇ ãÚ ãËíáÇÊåÇ  ¡ ãäÊÌ ÑÇÆÚ   íÌÚá ÇáØİá ãåÊãğÇ ÈÊÚáã ÇáÃÔßÇá æ  ÇáÃáæÇä İí æŞÊ æÇÍÏ . ÃæÕí Èå ÈÔÏÉ","ãäÊÌ ÚÌíÈ ááÌåÇá ÇáÕÛÇÑ¡ ÚÔÇä íÊÚáãæä ÇáÇÔßÇá æÔáæä íæÕáæäåÇ ááí ÊÔÈååÇ.. ãäÊÌ Íáíæ íÎáí ÇáÌÇåá íåÊã Çäå íÊÚáã ÇáÇÔßÇá æÇáÇáæÇä İí äİÓ ÇáæŞÊ.. ÇäÕÍ İíå ÈŞæÉ"
1,"I love this game for children: This is a game my sister had for each of her children. It is indestructible, permanent, educational and fun.  I Always buy it as gifts for newborn babies.","ÃÍÈ åĞå ÇááÚÈÉ ááÃØİÇá: åĞå áÚÈÉ ßÇäÊ áÏì ÃÎÊí áßá ãä ÃØİÇáåÇ. ÅäåÇ ÛíÑ ŞÇÈáÉ ááÊÏãíÑ ¡ ÏÇÆãÉ ¡ ÊÚáíãíÉ æããÊÚÉ. ÃÔÊÑíåÇ ÏÇÆãÇ  ßåÏÇíÇ ááÃØİÇá ÍÏíËí ÇáæáÇÏÉ.","ÃÍÈ åÇááÚÈÉ ÍŞ ÇáÌåÇá: åÇááÚÈÉ ßÇäÊ ÚäÏ ÃÎÊí áßá ÌåÇáåÇ. åí ãæ ŞÇÈáÉ ÅäåÇ ÊÎÊÑÈ¡ ÏÇÆãÉ¡ ÊÚáíãíÉ æÊæäÓ. ÇÔÊÑíåÇ Úáì Øæá åÏíÉ ÍŞ ÇáÌåÇá ÇáÌÏÏ."
1,The shapes sorting ball is a great toy! It has good educational value and is very durable. Its play value will last through at least age 3.,ßÑÉ İÑÒ ÇáÃÔßÇá åí áÚÈÉ ÑÇÆÚÉ! áåÇ ŞíãÉ ÊÚáíãíÉ ÌíÏÉ æÏÇÆãÉ ááÛÇíÉ. ããßä ÇááÚÈ ÈåÇ  ÍÊì Óä 3 Úáì ÇáÃŞá.,ßæÑÉ İÑÒ ÇáÃÔßÇá åí áÚÈÉ ÍáíæÉ! áíåÇ ŞíãÉ ÊÚáíãíÉ ÒíäÉ æÏÇÆãÉ æÇÌÏ. íÕíÑ äáÚÈ İíåÇ áíä ÚãÑ ? ÓäæÇÊ Úáì ÇáÃŞá.
1,"A decent knife, especially for the price: I bought this knife about 5 years ago, and it's the only one I have been using. It's not luxurious, not expensive, but gets things done effectively. I am almost ashamed to admit, but I do nothing but sharpen it until I bought the whetstone a few weeks ago.","Óßíä áÇÆŞÉ ¡ ÎÇÕÉ ÈÇáäÓÈÉ ááÓÚÑ: ÇÔÊÑíÊ åĞÇ ÇáÓßíä ãäĞ ÍæÇáí 5 ÓäæÇÊ ¡åí ÇáÓßíä ÇáæÍíÏÉ ÇáÊí ÃÓÊÎÏãåÇ. ÅäåÇ áíÓÊ İÇÎÑğÇ ¡  áíÓÊ ÈÇåÙÉ ÇáËãä ¡ æáßäå ÊäÌÒ ÇáãåÇã ÈİÇÚáíÉ . ÃÔÚÑ ÈÇáÎÌá ÊŞÑíÈğÇ ãä ÇáÇÚÊÑÇİ ¡ áßääí áÇÃİÚá  ÔíÆğÇ Óæì ÔÍĞåÇ ÍÊì ÇÔÊÑíÊ ÍÌÑ ÇáãÔÍĞ ŞÈá ÈÖÚÉ ÃÓÇÈíÚ.","ÓÌíä áÇÆŞÉ¡ ÎÕæÕÇğ ÈÇáäÓÈÉ ááÓÚÑ: ÇÔÊÑíÊ åÇáÓÌíä ãä ÍæÇáí ? Óäíä¡ åí ÇáÓÌíä ÇáæÍíÏÉ Çááí ÇÓÊÎÏãåÇ. åí ãæ İÇÎÑÉ¡ ãæ ÛÇáíÉ¡ áßäåÇ ÊÓæí ÇáÔÛá ÚÏá. ÇÓÊÍí ÓÇÚÇÊ ÃŞæá¡ áßä ãÇ ÇÓæí Ôí ÇáÇ ÔÍĞåÇ ÍÊì ÇÔÊÑíÊ ÍÌÑ ÇáãÔÍĞ ãä Ìã ÃÓÈæÚ."
1,Great Kitchen Tool: The knife is well made and the blade is exceptionally sharp. The only draw-back is the handle which seems to small for the average hand.,ÃÏÇÉ ãØÈÎ ÑÇÆÚÉ: ÇáÓßíä ãÕäæÚ ÌíÏğÇ æÇáÔİÑÉ ÍÇÏÉ ÈÔßá ÇÓÊËäÇÆí. ÇáÚíÈ ÇáæÍíÏ åæ ÇáãŞÈÖ ÇáĞí íÈÏæ ÕÛíÑğÇ ÈÇáäÓÈÉ Åáì ÇáíÏ ÇáãÊæÓØÉ.,ÃÏÇÉ ãØÈÎ ÒíäÉ: ÇáÓÌíä ãÕäæÚ Òíä ÇáÔİÑÉ ÍÇÏÉ ÈÔßá ÛíÑ. ÇáÚíÈ ÇáæÍíÏ åæ ÇáãŞÈÖ Çááí íÈíä ÕÛíÑ ÈÇáäÓÈÉ ááÃíÏ ÇáãÊæÓØÉ.
